"","Region","Year","Taxon","Depth","Length"
"1","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",58,50.5
"2","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",58,55.5
"3","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",89,39.5
"4","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",89,44.5
"5","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",89,45.5
"6","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",89,61.5
"7","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",89,63.5
"8","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",92,47.5
"9","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",99,46.5
"10","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",99,50.5
"11","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",106,47.5
"12","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",106,56.5
"13","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",107,16.5
"14","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",107,17.5
"15","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",107,18.5
"16","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",107,24.5
"17","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",107,43.5
"18","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",107,45.5
"19","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",107,46.5
"20","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",107,48.5
"21","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",107,50.5
"22","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",114,18.5
"23","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",114,25.5
"24","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",114,26.5
"25","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",114,45.5
"26","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",114,46.5
"27","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",114,50.5
"28","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",114,51.5
"29","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",114,60.5
"30","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",115,33.5
"31","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",115,38.5
"32","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",115,42.5
"33","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",115,45.5
"34","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",115,54.5
"35","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",115,56.5
"36","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",115,58.5
"37","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,18.5
"38","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,37.5
"39","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,42.5
"40","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,44.5
"41","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,45.5
"42","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,46.5
"43","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,47.5
"44","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,48.5
"45","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,49.5
"46","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,50.5
"47","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,52.5
"48","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,53.5
"49","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,54.5
"50","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,55.5
"51","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,57.5
"52","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,58.5
"53","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,59.5
"54","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,60.5
"55","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,62.5
"56","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,33.5
"57","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,40.5
"58","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,41.5
"59","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,43.5
"60","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,44.5
"61","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,45.5
"62","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,48.5
"63","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,49.5
"64","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,51.5
"65","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,52.5
"66","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,54.5
"67","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,55.5
"68","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,56.5
"69","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,59.5
"70","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,60.5
"71","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",138,63.5
"72","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",145,17.5
"73","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",145,26.5
"74","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",145,49.5
"75","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",145,51.5
"76","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",145,52.5
"77","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",145,53.5
"78","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",145,56.5
"79","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",145,57.5
"80","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",145,61.5
"81","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",145,62.5
"82","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",146,44.5
"83","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",146,48.5
"84","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",146,50.5
"85","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",146,53.5
"86","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",146,59.5
"87","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",146,61.5
"88","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",146,63.5
"89","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",146,64.5
"90","South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",146,65.5
