Old,New,Polarstern,,Pending,,,
CHAENOCEPHALUS ACERATUS,chaenocephalus_aceratus-channichthyidae,~,,artedidraco_mirus-artedidraconidae                    ,,,
CHAMPSOCEPHALUS GUNNARI,champsocephalus_gunnari-channichthyidae,~,,pogonophryne_fusca-nototheniidae                      ,,,
CHIONODRACO RASTROSPINOSUS,chionodraco_rastrospinosus-channichthyidae,~,,pogonophryne_cerebropogon-nototheniidae               ,,,
CRYODRACO ANTARCTICUS,cryodraco_antarcticus-channichthyidae,Cryodraco antarcticus,,pogonophryne_immaculata-nototheniidae                 ,,,
DISSOSTICHUS MAWSONI,nototheniid_dissostichus_mawsoni,Cygnodraco mawsoni,,champsocephalus_esox-channichthyidae                  ,,,
GOBIONOTOTHEN GIBBERIFRONS,nototheniid_gobinotothen_gibberifrons,~,,bathydraco_macrolepis-bathydraconidae                 ,,,
GYMNODRACO ACUTICEPS,gymnodraco_acuticeps-bathydraconidae,~,,parachaenichthys_georgianus-artedidraconidae          ,,,
LEPIDONOTOTHEN LARSENI,lepi_lars-trematominae,~,,cygnodraco_mawsoni-artedidraconidae                   ,,,
LEPIDONOTOTHEN NUDIFRONS,lepi_nudi-trematominae,~,,nototheniids_dissostichus eleginoides-artedidraconidae,,,
LEPIDONOTOTHEN SQUAMIFRONS,lepi_squa-trematominae,Lepidonotothen squamifrons,,patagonotothen_sima-trematominae                      ,,,
NEOPAGETOPSIS IONAH,~,~,,patagonotothen_elegans-trematominae                   ,,,
NOTOTHENIA CORIICEPS,notothenia_corriceps-nototheniidae,~,,patagontothen_ramsayi-trematominae                    ,,,
NOTOTHENIA ROSSII,~,~,,patagonotothen_guntheri-trematominae                  ,,,
PARACHAENICHTHYS CHARCOTI,parachaenichthys_charcoti,~,,patagonotothen_tesselata-trematominae                 ,,,
PLEURAGRAMMA ANTARCTICUM,nototheniids_pleuragramma_antarcticum,Pleuragramma antarcticum,,trematomus_borsch-trematominae                        ,,,
PSEUDOCHAENICHTHYS GEORGIANUS,pseudochaenichthys_georgianus-channichthyidae,~,,,,,
TREMATOMUS EULEPIDOTUS,trematomus_eulepidotus-trematominae,~,,,,,
TREMATOMUS HANSONI,trematomus_hansoni-trematominae,Trematomus hansoni,,,,,
CHAENODRACO WILSONI,chaenodraco_wilsoni-channichthyidae,~,,,,,
CHIONOBATHYSCUS DEWITTI,chionobathyscus_dewitti-channichthyidae,Chionobathyscus dewitti,,,,,
DOLLOIDRACO LONGEDORSALIS,dolloidraco_longedorsalis-artedidraconidae,~,,,,,
GERLACHEA AUSTRALIS,gerlachea_australis-artedidraconidae,~,,,,,
POGONOPHRYNE SPECIES,~,~,,,,,
RACOVITZIA GLACIALIS,racovitzia_glacialis-artedidraconidae,Racovitzia glacialis,,,,,
TREMATOMUS TOKAREVI,trematomus_tokarevi-trematominae,~,,,,,
ARTEDIDRACO SKOTTSBERGI,artedidraco_skottsbergi-artedidraconidae,~,,,,,
BATHYDRACO MARRI,bathydraco_marri-bathydraconidae,Bathydraco marri,,,,,
PAGOTHENIA BORCHGREVINKI,~,~,,,,,
TREMATOMUS BERNACCHII,trematomus_bernacchii-trematominae,~,,,,,
TREMATOMUS NEWNESI,trematomus_newnesi-trematominae,~,,,,,
TREMATOMUS NICOLAI,trematomus_nicolai-trematominae,Trematomus nicolai,,,,,
TREMATOMUS PENNELLII,trematomus_pennelii-trematominae,Trematomus pennellii,,,,,
POGONOPHRYNE DOLICHOBRANCHIATA,~,~,,,,,
PAGETOPSIS MACROPTERUS,pagetopsis_macropterus-channichthyidae,Pagetopsis macropterus,,,,,
TREMATOMUS SCOTTI,trematomus_scotti-trematominae,Trematomus scotti,,,,,
POGONOPHRYNE MARMORATA,pogonophryne_marmorata-artedidraconidae,~,,,,,
TREMATOMUS LOENNBERGII,trematomus_loenbergii-trematominae,Trematomus loennbergi,,,,,
HARPAGIFER ANTARCTICUS,harpagifer_antarcticus-harpagiferidae,~,,,,,
POGONOPHRYNE SCOTTI,pogonophryne_scotti-artedidraconidae,~,,,,,
DACODRACO HUNTERI,dacodraco_hunteri-channichthyidae,~,,,,,
AETHOTAXIS MITOPTERYX,nototheniids_aethotaxis_mitopteryx,Aethotaxis mitopteryx,,,,,
CHIONODRACO MYERSI,chiondraco_myersi-channichthyidae,~,,,,,
POGONOPHRYNE BARSUKOVI,pogonophryne_barsukovi-artedidraconidae,~,,,,,
POGONOPHRYNE PERMITINI,~,~,,,,,
POGONOPHRYNE SPECIES A,~,~,,,,,
POGONOPHRYNE SPECIES B,~,~,,,,,
PRIONODRACO EVANSII,prionodraco_evansii-artedidraconidae,Prionodraco evansii,,,,,
VOMERIDENS INFUSCIPINNIS,vomeridens_infuscipinnis-artedidraconidae,~,,,,,
POGONOPHRYNE MACROPOGON,pogonophryne_macropogon-artedidraconidae,~,,,,,
AKAROTAXIS NUDICEPS,akarotaxis_nudiceps-bathydraconidae,~,,,,,
GOBIONOTOTHEN ACUTA,~,~,,,,,
BATHYDRACO ANTARCTICUS,bathydraco_antarcticus-bathydraconidae,~,,,,,
~,trematomus_lepidorhinus-trematominae ,Trematomus lepidorhinus,,,,,
~,c_hamatus-artedidraconidae                            ,Chionodraco hamatus,,,,,
~,histiodraco_velifer-artedidraconidae                  ,Histiodraco velifer,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
