"","Old","Comp1","Comp2","New","SizeData","LogSize"
"artedidraco_skottsbergi-artedidraconidae","artedidraco_skottsbergi-artedidraconidae",-0.0883195144204048,0.0165867233639738,"Artedidraco skottsbergi",12,2.484906649788
"chaenocephalus_aceratus-channichthyidae","chaenocephalus_aceratus-channichthyidae",-0.104350366426405,0.00529938396287307,"Chaenocephalus aceratus",72,4.27666611901606
"chaenodraco_wilsoni-channichthyidae","chaenodraco_wilsoni-channichthyidae",0.0722970847252478,0.0657472081896965,"Chaenodraco wilsoni",43,3.76120011569356
"champsocephalus_gunnari-channichthyidae","champsocephalus_gunnari-channichthyidae",0.00124633058511606,-0.0669813386979801,"Champsocephalus gunnari",66,4.18965474202643
"chiondraco_myersi-channichthyidae","chiondraco_myersi-channichthyidae",0.06446593729431,0.0724361231069063,"Chionodraco myersi",39.2000007629395,3.66867676625916
"chionodraco_rastrospinosus-channichthyidae","chionodraco_rastrospinosus-channichthyidae",0.0657174778886162,0.0707756222014949,"Chionodraco rastrospinosus",52,3.95124371858143
"cryodraco_antarcticus-channichthyidae","cryodraco_antarcticus-channichthyidae",-0.0989394643560075,0.0178550063188819,"Cryodraco antarcticus",48.7,3.88567903008854
"dacodraco_hunteri-channichthyidae","dacodraco_hunteri-channichthyidae",-0.0860434749299965,0.061612225059333,"Dacodraco hunteri",30.3999996185303,3.41444259586383
"gerlachea_australis-artedidraconidae","gerlachea_australis-artedidraconidae",-0.045267563846706,-0.0033202262250927,"Gerlachea australis",22,3.09104245335832
"lepi_nudi-trematominae","lepi_nudi-trematominae",-0.00759413569040375,-0.0195279767457444,"Nototheniops nudifrons",19.5,2.9704144655697
"lepi_squa-trematominae","lepi_squa-trematominae",0.0542201129269248,0.057687456049785,"Lepidonotothen squamifrons",55,4.00733318523247
"notothenia_corriceps-nototheniidae","notothenia_corriceps-nototheniidae",0.0180323020982553,-0.0153011344501963,"Notothenia coriiceps",62,4.12713438504509
"pogonophryne_barsukovi-artedidraconidae","pogonophryne_barsukovi-artedidraconidae",-0.0755033141432021,-0.00923791025868365,"Pogonophryne barsukovi",25,3.2188758248682
"pogonophryne_marmorata-artedidraconidae","pogonophryne_marmorata-artedidraconidae",0.015187459777292,0.00338177709174856,"Pogonophryne marmorata",21,3.04452243772342
"pogonophryne_scotti-artedidraconidae","pogonophryne_scotti-artedidraconidae",-0.0377754455026097,0.0411204756684732,"Pogonophryne scotti",31,3.43398720448515
"trematomus_bernacchii-trematominae","trematomus_bernacchii-trematominae",0.0627519048257577,-0.0370593078618007,"Trematomus bernacchii",28,3.3322045101752
"trematomus_loenbergii-trematominae","trematomus_loenbergii-trematominae",0.0335860788195659,-0.0372876762198375,"Trematomus loennbergii",30,3.40119738166216
"trematomus_newnesi-trematominae","trematomus_newnesi-trematominae",0.0312107264887379,-0.0111890179391561,"Trematomus newnesi",20,2.99573227355399
"trematomus_scotti-trematominae","trematomus_scotti-trematominae",-0.00234636269885858,-0.0430764024086707,"Trematomus scotti",24.7000007629395,3.20680327452217
