"","Station","Date.of.collection","Latitude","Longitude","Gear","Species","Depth..m.","TW..g.","TL..cm.","Sex","Maturity","Depth","Length"
"1","#40-12","3/23/2022",-70.749463,-10.82622,"AGT","chionobathyscus_dewitti-channichthyidae",900,"106.3",26,"M","1",900,26
"2","#40-12","3/23/2022",-70.749463,-10.82622,"AGT","chionobathyscus_dewitti-channichthyidae",900,"82.1",24.5,"U","1",900,24.5
"3","#40-12","3/23/2022",-70.749463,-10.82622,"AGT","chionobathyscus_dewitti-channichthyidae",900,"129.3",26.5,"F","2",900,26.5
"4","#40-12","3/23/2022",-70.749463,-10.82622,"AGT","bathydraco_marri-bathydraconidae",900,"44.8",22.5,"F","2/3",900,22.5
"5","#40-12","3/23/2022",-70.749463,-10.82622,"AGT","chionobathyscus_dewitti-channichthyidae",900,"315.6",36.5,"F","2",900,36.5
"7","#40-12","3/23/2022",-70.749463,-10.82622,"AGT","chionobathyscus_dewitti-channichthyidae",900,"395",36,"M","1",900,36
"8","#40-12","3/23/2022",-70.749463,-10.82622,"AGT","nototheniids_aethotaxis_mitopteryx",900,"76.8",22,"u","u",900,22
"19","#40-13","3/23/2022",-70.748258,-10.837663,"FishTrap","chionobathyscus_dewitti-channichthyidae",937,"249.9",33,"F","2",937,33
"20","#40-13","3/23/2022",-70.748258,-10.837663,"FishTrap","chionobathyscus_dewitti-channichthyidae",937,"79.2",23,"F","3",937,23
"21","#40-13","3/23/2022",-70.748258,-10.837663,"FishTrap","chionobathyscus_dewitti-channichthyidae",937,"782",43.5,"U","",937,43.5
"23","#40-13","3/23/2022",-70.748258,-10.837663,"FishTrap","chionobathyscus_dewitti-channichthyidae",937,"225.9",33,"F","1",937,33
"24","#40-13","3/23/2022",-70.748258,-10.837663,"FishTrap","trematomus_loenbergii-trematominae",937,"195.5",25.5,"F","3/4",937,25.5
"36","#40-13","3/23/2022",-70.748258,-10.837663,"FishTrap","trematomus_loenbergii-trematominae",937,"193.3",26.5,"F","4/5",937,26.5
"39","#40-13","3/23/2022",-70.748258,-10.837663,"FishTrap","trematomus_loenbergii-trematominae",937,"158.6",25.5,"F","3",937,25.5
"40","#40-13","3/23/2022",-70.748258,-10.837663,"FishTrap","trematomus_loenbergii-trematominae",937,"260.3",29,"F","4",937,29
"44","#46-1","3/25/2022",-70.752019,-10.905688,"Long Line","chionobathyscus_dewitti-channichthyidae",996,"256",34.5,"M","2",996,34.5
"45","#46-1","3/25/2022",-70.752019,-10.905688,"Long Line","chionobathyscus_dewitti-channichthyidae",996,"279",36,"M","2",996,36
"46","#46-1","3/25/2022",-70.752019,-10.905688,"Long Line","chionobathyscus_dewitti-channichthyidae",996,"338",36,"M","2",996,36
"47","#46-1","3/25/2022",-70.752019,-10.905688,"Long Line","chionobathyscus_dewitti-channichthyidae",996,"",34,"","",996,34
"51","#47-3","3/25/2022",-70.776956,-10.728617,"AGT","lepi_squa-trematominae",697,"5.6",8.5,"U","U",697,8.5
"52","#47-3","3/25/2022",-70.776956,-10.728617,"AGT","lepi_squa-trematominae",697,"9.7",10.5,"U","U",697,10.5
"53","#47-3","3/25/2022",-70.776956,-10.728617,"AGT","lepi_squa-trematominae",697,"2.1",6.5,"U","U",697,6.5
"54","#47-3","3/25/2022",-70.776956,-10.728617,"AGT","lepi_squa-trematominae",697,"8.8",10.5,"U","U",697,10.5
