"","X","Region","Year","Taxon","Depth","Length"
"18705",18705,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,26
"18706",18706,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,34
"18707",18707,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,30
"18708",18708,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,25
"18709",18709,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,28
"18710",18710,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,28
"18711",18711,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,28
"18712",18712,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,30
"18713",18713,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,20
"18714",18714,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,27
"18715",18715,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,27
"18716",18716,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,28
"18717",18717,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,32
"18718",18718,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,22
"18719",18719,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,18
"18720",18720,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,29
"18721",18721,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,22
"18722",18722,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,20
"18723",18723,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,19
"18724",18724,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,21
"18725",18725,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,20
"18726",18726,"Antarctic Peninsula",2006,"LEPIDONOTOTHEN LARSENI",342,16
"18727",18727,"Antarctic Peninsula",2006,"TREMATOMUS BERNACCHII",342,29
"18728",18728,"Antarctic Peninsula",2006,"TREMATOMUS BERNACCHII",342,24
"18729",18729,"Antarctic Peninsula",2006,"TREMATOMUS BERNACCHII",342,24
"18730",18730,"Antarctic Peninsula",2006,"GYMNODRACO ACUTICEPS",342,35
"18731",18731,"Antarctic Peninsula",2006,"GYMNODRACO ACUTICEPS",460,18
"18732",18732,"Antarctic Peninsula",2006,"GYMNODRACO ACUTICEPS",460,35
"18733",18733,"Antarctic Peninsula",2006,"GYMNODRACO ACUTICEPS",460,30
"18734",18734,"Antarctic Peninsula",2006,"GYMNODRACO ACUTICEPS",460,27
"18735",18735,"Antarctic Peninsula",2006,"TREMATOMUS NICOLAI",460,36
"18736",18736,"Antarctic Peninsula",2006,"TREMATOMUS NICOLAI",460,40
"18737",18737,"Antarctic Peninsula",2006,"TREMATOMUS NICOLAI",460,29
"18738",18738,"Antarctic Peninsula",2006,"TREMATOMUS NICOLAI",460,30.5
"18739",18739,"Antarctic Peninsula",2006,"TREMATOMUS NICOLAI",460,32
"18740",18740,"Antarctic Peninsula",2006,"TREMATOMUS SCOTTI",460,16
"18741",18741,"Antarctic Peninsula",2006,"TREMATOMUS SCOTTI",460,17
"18742",18742,"Antarctic Peninsula",2006,"RACOVITZIA GLACIALIS",460,34.5
"18743",18743,"Antarctic Peninsula",2006,"CRYODRACO ANTARCTICUS",460,38
"18744",18744,"Antarctic Peninsula",2006,"CRYODRACO ANTARCTICUS",460,38
"18745",18745,"Antarctic Peninsula",2006,"CRYODRACO ANTARCTICUS",460,37
"18746",18746,"Antarctic Peninsula",2006,"CHAENODRACO WILSONI",460,14
"18747",18747,"Antarctic Peninsula",2006,"LEPIDONOTOTHEN NUDIFRONS",95,11
"18748",18748,"Antarctic Peninsula",2006,"LEPIDONOTOTHEN NUDIFRONS",95,15
"18749",18749,"Antarctic Peninsula",2006,"LEPIDONOTOTHEN NUDIFRONS",95,13
"18750",18750,"Antarctic Peninsula",2006,"LEPIDONOTOTHEN NUDIFRONS",95,14
"18751",18751,"Antarctic Peninsula",2006,"LEPIDONOTOTHEN NUDIFRONS",95,12
"18752",18752,"Antarctic Peninsula",2006,"LEPIDONOTOTHEN NUDIFRONS",95,12
"18753",18753,"Antarctic Peninsula",2006,"LEPIDONOTOTHEN NUDIFRONS",95,12
"18754",18754,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,35
"18755",18755,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,30
"18756",18756,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,33
"18757",18757,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,39
"18758",18758,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,28
"18759",18759,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,29
"18760",18760,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,34
"18761",18761,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,26
"18762",18762,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,19
"18763",18763,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,18
"18764",18764,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,16
"18765",18765,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,18
"18766",18766,"Antarctic Peninsula",2006,"GOBIONOTOTHEN GIBBERIFRONS",95,39
"18767",18767,"Antarctic Peninsula",2006,"CHIONODRACO RASTROSPINOSUS",95,40
"18768",18768,"Antarctic Peninsula",2006,"CHIONODRACO RASTROSPINOSUS",95,42
"18769",18769,"Antarctic Peninsula",2006,"CHIONODRACO RASTROSPINOSUS",95,40
"18770",18770,"Antarctic Peninsula",2006,"CHIONODRACO RASTROSPINOSUS",95,42
"18771",18771,"Antarctic Peninsula",2006,"CHIONODRACO RASTROSPINOSUS",95,42
"18772",18772,"Antarctic Peninsula",2006,"CHIONODRACO RASTROSPINOSUS",95,37
"18773",18773,"Antarctic Peninsula",2006,"CHIONODRACO RASTROSPINOSUS",95,36
"18774",18774,"Antarctic Peninsula",2006,"CHAENOCEPHALUS ACERATUS",95,48
"18775",18775,"Antarctic Peninsula",2006,"CHAENOCEPHALUS ACERATUS",95,48
"18776",18776,"Antarctic Peninsula",2006,"CHAENOCEPHALUS ACERATUS",95,53
"18777",18777,"Antarctic Peninsula",2006,"CHAENOCEPHALUS ACERATUS",95,50
"18778",18778,"Antarctic Peninsula",2006,"GYMNODRACO ACUTICEPS",95,30
"18779",18779,"Antarctic Peninsula",2006,"LEPIDONOTOTHEN LARSENI",95,16
"18780",18780,"Antarctic Peninsula",2006,"LEPIDONOTOTHEN LARSENI",95,16
"18781",18781,"Antarctic Peninsula",2006,"TREMATOMUS NEWNESI",95,21
"18782",18782,"Antarctic Peninsula",2006,"TREMATOMUS NEWNESI",95,18
"18783",18783,"Antarctic Peninsula",2006,"TREMATOMUS NEWNESI",95,21
"18784",18784,"Antarctic Peninsula",2006,"TREMATOMUS NEWNESI",95,20
"18785",18785,"Antarctic Peninsula",2006,"TREMATOMUS NEWNESI",95,21
"18786",18786,"Antarctic Peninsula",2006,"NOTOTHENIA CORIICEPS",95,35
"18787",18787,"Antarctic Peninsula",2006,"NOTOTHENIA CORIICEPS",95,38
"18788",18788,"Antarctic Peninsula",2006,"NOTOTHENIA CORIICEPS",95,35
"18789",18789,"Antarctic Peninsula",2006,"NOTOTHENIA CORIICEPS",95,34
"18790",18790,"Antarctic Peninsula",2006,"CHAENOCEPHALUS ACERATUS",112,41
"18791",18791,"Antarctic Peninsula",2006,"CHAENOCEPHALUS ACERATUS",112,50
"18792",18792,"Antarctic Peninsula",2006,"CHAENOCEPHALUS ACERATUS",112,46
"18793",18793,"Antarctic Peninsula",2006,"PARACHAENICHTHYS CHARCOTI",112,43
"18794",18794,"Antarctic Peninsula",2006,"PARACHAENICHTHYS CHARCOTI",112,31
"18795",18795,"Antarctic Peninsula",2006,"PARACHAENICHTHYS CHARCOTI",112,30
"18796",18796,"Antarctic Peninsula",2006,"PARACHAENICHTHYS CHARCOTI",112,46
"18797",18797,"Antarctic Peninsula",2006,"PARACHAENICHTHYS CHARCOTI",112,51
"18798",18798,"Antarctic Peninsula",2006,"CHIONODRACO RASTROSPINOSUS",112,40
"18799",18799,"Antarctic Peninsula",2006,"CHIONODRACO RASTROSPINOSUS",112,38
"18800",18800,"Antarctic Peninsula",2006,"CHIONODRACO RASTROSPINOSUS",112,38
"18801",18801,"Antarctic Peninsula",2006,"CHIONODRACO RASTROSPINOSUS",112,41
"18802",18802,"Antarctic Peninsula",2006,"CHIONODRACO RASTROSPINOSUS",112,38
"18803",18803,"Antarctic Peninsula",2006,"CHIONODRACO RASTROSPINOSUS",112,40
"18804",18804,"Antarctic Peninsula",2006,"CHIONODRACO RASTROSPINOSUS",112,40
"18805",18805,"Antarctic Peninsula",2006,"CHAMPSOCEPHALUS GUNNARI",112,53
"18806",18806,"Antarctic Peninsula",2006,"CHAMPSOCEPHALUS GUNNARI",112,38
"18807",18807,"Antarctic Peninsula",2006,"TREMATOMUS NEWNESI",112,21
"18808",18808,"Antarctic Peninsula",2006,"TREMATOMUS NEWNESI",112,20
"18809",18809,"Antarctic Peninsula",2006,"TREMATOMUS NEWNESI",112,20
"18810",18810,"Antarctic Peninsula",2006,"TREMATOMUS NEWNESI",112,16
"18811",18811,"Antarctic Peninsula",2006,"TREMATOMUS NEWNESI",112,19
"18812",18812,"Antarctic Peninsula",2006,"LEPIDONOTOTHEN NUDIFRONS",112,16
"18813",18813,"Antarctic Peninsula",2006,"LEPIDONOTOTHEN NUDIFRONS",112,14
"18814",18814,"Antarctic Peninsula",2006,"LEPIDONOTOTHEN NUDIFRONS",112,15
"18815",18815,"Antarctic Peninsula",2006,"LEPIDONOTOTHEN NUDIFRONS",112,15
"18816",18816,"Antarctic Peninsula",2006,"LEPIDONOTOTHEN NUDIFRONS",112,15
"18817",18817,"Antarctic Peninsula",2006,"LEPIDONOTOTHEN NUDIFRONS",112,16
"18818",18818,"Antarctic Peninsula",2006,"LEPIDONOTOTHEN NUDIFRONS",112,13
"18819",18819,"Antarctic Peninsula",2006,"LEPIDONOTOTHEN NUDIFRONS",112,15
"18820",18820,"Antarctic Peninsula",2006,"LEPIDONOTOTHEN NUDIFRONS",112,13
"18821",18821,"Antarctic Peninsula",2006,"LEPIDONOTOTHEN NUDIFRONS",112,15
"18822",18822,"Antarctic Peninsula",2006,"LEPIDONOTOTHEN NUDIFRONS",112,13
"18823",18823,"Antarctic Peninsula",2006,"LEPIDONOTOTHEN NUDIFRONS",112,14
