"","X","Region","Year","Taxon","Depth","Length"
"2989",2989,"South Orkney Is.",1999,"ARTEDIDRACO SKOTTSBERGI",230,10
"2990",2990,"South Orkney Is.",1999,"BATHYDRACO MARRI",389,23
"2991",2991,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,22
"2992",2992,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,26
"2993",2993,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,30
"2994",2994,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,31
"2995",2995,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,32
"2996",2996,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,33
"2997",2997,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,34
"2998",2998,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,35
"2999",2999,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,36
"3000",3000,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,37
"3001",3001,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,38
"3002",3002,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,39
"3003",3003,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,40
"3004",3004,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,41
"3005",3005,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,42
"3006",3006,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,43
"3007",3007,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,44
"3008",3008,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,45
"3009",3009,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,46
"3010",3010,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,47
"3011",3011,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,48
"3012",3012,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,49
"3013",3013,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,50
"3014",3014,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,51
"3015",3015,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,52
"3016",3016,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,53
"3017",3017,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,55
"3018",3018,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,56
"3019",3019,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,57
"3020",3020,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,58
"3021",3021,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,59
"3022",3022,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,60
"3023",3023,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,62
"3024",3024,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,63
"3025",3025,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,66
"3026",3026,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",134,68
"3027",3027,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",135,29
"3028",3028,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",135,32
"3029",3029,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",135,33
"3030",3030,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",135,34
"3031",3031,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",135,35
"3032",3032,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",135,36
"3033",3033,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",135,37
"3034",3034,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",135,38
"3035",3035,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",135,39
"3036",3036,"South Orkney Is.",1999,"CHAENOCEPHALUS ACERATUS",135,40
