"","X","Region","Year","Taxon","Depth","Length"
"1",1,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",58,50.5
"2",2,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",58,55.5
"3",3,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",89,39.5
"4",4,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",89,44.5
"5",5,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",89,45.5
"6",6,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",89,61.5
"7",7,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",89,63.5
"8",8,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",92,47.5
"9",9,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",99,46.5
"10",10,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",99,50.5
"11",11,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",106,47.5
"12",12,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",106,56.5
"13",13,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",107,16.5
"14",14,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",107,17.5
"15",15,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",107,18.5
"16",16,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",107,24.5
"17",17,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",107,43.5
"18",18,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",107,45.5
"19",19,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",107,46.5
"20",20,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",107,48.5
"21",21,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",107,50.5
"22",22,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",114,18.5
"23",23,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",114,25.5
"24",24,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",114,26.5
"25",25,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",114,45.5
"26",26,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",114,46.5
"27",27,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",114,50.5
"28",28,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",114,51.5
"29",29,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",114,60.5
"30",30,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",115,33.5
"31",31,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",115,38.5
"32",32,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",115,42.5
"33",33,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",115,45.5
"34",34,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",115,54.5
"35",35,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",115,56.5
"36",36,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",115,58.5
"37",37,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,18.5
"38",38,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,37.5
"39",39,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,42.5
"40",40,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,44.5
"41",41,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,45.5
"42",42,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,46.5
"43",43,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,47.5
"44",44,"South Shetland Is.",1998,"CHAENOCEPHALUS ACERATUS",128,48.5
